"Insider","TransactionCode","Count","TotalShares","TotalValue","TotalValueDisplay"
"Althoff Judson","F","1","3283.85","1289011.21","1289011.21"
"Coleman Amy","A","1","10370",,"unknown"
"Coleman Amy","F","1","27.94","10836.96","10836.96"
"Hogan Kathleen T","F","1","1744.79","684881.24","684881.24"
"Hood Amy","F","1","4390.84","1723537.21","1723537.21"
"Jolla Alice L.","F","1","444.06","174305.3","174305.3"
"List Teri","A","1","151",,"unknown"
"Mason Mark","A","1","151",,"unknown"
"Numoto Takeshi","F","1","1294.18","508003.69","508003.69"
"SCHARF CHARLES W","A","1","151",,"unknown"
"SMITH BRADFORD L","F","1","3722.38","1461147.78","1461147.78"
"STANTON JOHN W","A","1","151",,"unknown"
