"Insider","TransactionDate","TransactionCode","SharesTransacted","TotalValue","TotalValueDisplay"
"Coleman Amy","2025-04-15","F","28","10836.96","10836.96"
"Coleman Amy","2025-04-15","A","10370",,"unknown"
"SMITH BRADFORD L","2025-02-28","F","3722","1461147.78","1461147.78"
"Numoto Takeshi","2025-02-28","F","1294","508003.69","508003.69"
"Jolla Alice L.","2025-02-28","F","444","174305.3","174305.3"
"Hood Amy","2025-02-28","F","4391","1723537.21","1723537.21"
"Hogan Kathleen T","2025-02-28","F","1745","684881.24","684881.24"
"Althoff Judson","2025-02-28","F","3284","1289011.21","1289011.21"
"STANTON JOHN W","2025-01-31","A","151",,"unknown"
"SCHARF CHARLES W","2025-01-31","A","151",,"unknown"
"Mason Mark","2025-01-31","A","151",,"unknown"
"List Teri","2025-01-31","A","151",,"unknown"
